term	category	length	n_occurrences	n_errors	error_rate_pct
mouth	ANATOMY	1	6	1	16.67
anus	CONDITION	1	1	1	100.00
dan	DRUG	1	5	1	20.00
diarrhea	FINDING	1	25	1	4.00
drink drink	CONDITION	2	1	1	100.00
similar similar	FINDING	2	1	1	100.00
feel restless	SYMPTOM	2	1	1	100.00
ears pain	SYMPTOM	2	1	1	100.00
labored	FINDING	1	2	1	50.00
field	PROCEDURE	1	3	1	33.33
able	FINDING	1	39	1	2.56
other thing	FINDING	2	11	1	9.09
no problem	FINDING	2	2	1	50.00
bleeding	CONDITION	1	8	1	12.50
grinding	PROCEDURE	1	1	1	100.00
no palpitations	FINDING	2	1	1	100.00
left ear	ANATOMY	2	6	1	16.67
ear drum	ANATOMY	2	1	1	100.00
mesa	PROCEDURE	1	1	1	100.00
easy	FINDING	1	4	1	25.00
osteoarthritis	CONDITION	1	3	1	33.33
blood test	PROCEDURE	2	12	1	8.33
nerve	ANATOMY	1	1	1	100.00
labyrinthitis	CONDITION	1	2	1	50.00
bell's palsy	CONDITION	2	1	1	100.00
playing	FINDING	1	1	1	100.00
rennie	DRUG	1	1	1	100.00
latex	PROCEDURE	1	2	1	50.00
cottons	DRUG	1	1	1	100.00
rennies	DRUG	1	1	1	100.00
ringing	DRUG	1	9	1	11.11
finger	ANATOMY	1	7	1	14.29
lung	CONDITION	1	1	1	100.00
transient ischemic attacks	CONDITION	3	1	1	100.00
pals	CONDITION	1	1	1	100.00
tia	CONDITION	1	4	1	25.00
localised infection	CONDITION	2	1	1	100.00
chlorphenamine	DRUG	1	1	1	100.00
anxiety	CONDITION	1	17	1	5.88
stridor	SYMPTOM	1	1	1	100.00
epipen	DRUG	1	1	1	100.00
link	DRUG	1	6	1	16.67
compromise	FINDING	1	1	1	100.00
now right	FINDING	2	3	1	33.33
trying trying	FINDING	2	1	1	100.00
life threatening	FINDING	2	1	1	100.00
