term	category	length	n_occurrences	n_errors	error_rate_pct
skipped	FINDING	1	5	2	40.00
teacher	FINDING	1	14	2	14.29
gift	PROCEDURE	1	15	2	13.33
depressant	DRUG	1	2	2	100.00
pathetic	CONDITION	1	4	2	50.00
distant	CONDITION	1	4	2	50.00
margin	FINDING	1	2	2	100.00
protecting	DRUG	1	7	2	28.57
ben	CONDITION	1	9	2	22.22
alone	FINDING	1	56	2	3.57
tea	ANATOMY	1	5	2	40.00
semi	CONDITION	1	2	2	100.00
not sure	FINDING	2	120	2	1.67
runs	FINDING	1	8	2	25.00
stare	CONDITION	1	5	2	40.00
gill	ANATOMY	1	2	2	100.00
running	FINDING	1	29	1	3.45
