# secondary=medasr
# min_anchor_words=2
dataset	n_files	parakeet_wer	fused_wer	wer_delta_pp	subs_neg	subs_lat	subs_num	p_neg_rec	f_neg_rec	neg_delta	p_lat_rec	f_lat_rec	lat_delta	p_num_rec	f_num_rec	num_delta	better	worse	tied
primock57	57	18.2168	18.2156	-0.0012	1	0	0	89.1753	89.2182	+0.0430	89.6774	89.6774	+0.0000	63.8686	63.8686	+0.0000	1	0	56
figshare-osce	272	22.6580	22.6541	-0.0039	69	0	0	92.5898	93.0025	+0.4127	95.5185	95.5185	+0.0000	72.0675	72.0675	+0.0000	25	16	231
nazmulkazi	71	7.7545	7.7490	-0.0055	21	0	0	97.7871	97.8951	+0.1079	97.4166	97.4166	+0.0000	81.8419	81.8419	+0.0000	14	1	56
