file_id	parakeet_wer	fused_wer	subs_negation	subs_laterality	subs_numeric	p_neg_correct	p_neg_total	f_neg_correct	f_neg_total	p_lat_correct	p_lat_total	f_lat_correct	f_lat_total	p_num_correct	p_num_total	f_num_correct	f_num_total
RES0198	34.95	34.95	0	0	0	40	42	40	42	4	4	4	4	3	6	3	6
RES0199	40.32	40.32	0	0	0	53	57	53	57	1	1	1	1	14	21	14	21
RES0200	30.42	30.42	0	0	0	36	46	36	46	3	3	3	3	9	14	9	14
RES0201	19.25	19.25	0	0	0	27	28	27	28	3	5	3	5	9	10	9	10
RES0202	23.56	23.49	2	0	2	36	38	36	38	4	4	4	4	10	13	10	13
RES0203	16.04	15.93	1	0	0	35	36	36	36	0	0	0	0	5	5	5	5
RES0204	39.36	39.16	1	0	0	31	39	33	39	3	3	3	3	8	9	8	9
RES0205	17.51	17.51	0	0	0	19	20	19	20	2	2	2	2	19	19	19	19
RES0206	31.34	31.34	1	0	0	24	29	24	29	3	3	3	3	9	16	9	16
RES0207	34.33	34.33	0	0	0	20	25	20	25	1	1	1	1	3	6	3	6
RES0208	29.10	29.10	0	0	0	29	34	29	34	2	2	2	2	11	13	11	13
RES0209	34.60	34.60	0	0	0	26	34	26	34	8	8	8	8	14	15	14	15
RES0210	14.31	14.31	0	0	0	11	12	11	12	2	2	2	2	8	9	8	9
RES0211	17.69	17.69	1	0	0	47	47	47	47	6	6	6	6	16	16	16	16
RES0212	15.22	15.14	0	0	1	43	44	43	44	3	3	3	3	15	20	16	20
RES0213	18.28	18.28	1	0	0	30	31	30	31	3	3	3	3	12	16	12	16
RES0214	15.43	15.34	1	0	0	44	45	45	45	5	5	5	5	9	10	9	10
RES0215	16.90	16.82	0	0	2	51	52	51	52	1	1	1	1	15	22	16	22
RES0216	17.87	17.81	1	0	0	33	37	34	37	2	2	2	2	17	20	17	20
RES0217	18.75	18.75	0	0	0	23	30	23	30	2	2	2	2	7	10	7	10
