dataset,models,n_files,wer_pct,n_words
primock57,"whisper-base-en+sensevoice-no-itn+qwen3-asr",57,17.4932,85239
primock57,"sensevoice+qwen3-asr+paraformer-en",57,17.5108,85239
primock57,"whisper-base-en+qwen3-asr+paraformer-en",57,18.0481,85239
primock57,"whisper-base-en+sensevoice-no-itn+nemo-fastconformer",57,18.2722,85239
primock57,"whisper-base-en+sensevoice+sensevoice-no-itn",57,18.3273,85239
primock57,"whisper-base-en+sensevoice+nemo-fastconformer",57,18.4434,85239
primock57,"whisper-base-en+sensevoice-no-itn+paraformer-en",57,18.9209,85239
primock57,"whisper-base-en+sensevoice+paraformer-en",57,19.1016,85239
primock57,"sensevoice+sensevoice-no-itn+nemo-fastconformer",57,19.1966,85239
primock57,"whisper-base-en+paraformer-en+nemo-fastconformer",57,19.6976,85239
primock57,"sensevoice-no-itn+paraformer-en+nemo-fastconformer",57,19.7809,85239
primock57,"sensevoice+sensevoice-no-itn+paraformer-en",57,20.0554,85239
primock57,"sensevoice+paraformer-en+nemo-fastconformer",57,20.3135,85239
