ROVER Fusion Results — nazmulkazi
============================================================
Pair                                                  Fused       M1       M2     Wins
nemotron + sensevoice-no-itn                         21.92%   37.40%    7.63%   0/71
nemotron + sensevoice                                21.95%   37.40%    7.68%   0/71
nemotron + parakeet-tdt-0.6b-v2                      21.97%   37.40%    7.30%   0/71
nemotron + whisper-distil-v3.5                       22.07%   37.40%    7.35%   0/71
nemotron + whisper-turbo                             22.07%   37.40%    7.55%   0/71
nemotron + qwen3-asr                                 22.13%   37.40%    7.94%   0/71
nemotron + whisper-base-en                           22.13%   37.40%    7.64%   0/71
nemotron + paraformer-en                             22.64%   37.40%    9.28%   0/71
nemotron + zipformer-zh-en                           23.55%   37.40%   11.14%   0/71
medasr-int8 + medasr                                 25.60%   32.48%   32.78%  13/71
