file_id	parakeet_wer	medasr_wer	fused_wer	n_subs	n_inserts	n_words
RES0125	15.26	83.10	15.74	4	1	1645
RES0126	16.65	82.51	16.93	4	2	1784
RES0127	21.69	83.73	26.06	14	0	1420
RES0128	30.85	64.91	34.25	4	7	1060
RES0129	32.66	79.54	33.81	2	0	1041
RES0130	23.36	76.35	26.53	8	0	1353
RES0131	25.66	85.92	28.08	10	0	1243
RES0132	27.79	58.18	38.35	7	2	1382
RES0133	26.30	72.61	27.62	4	0	1289
RES0134	14.63	73.73	15.38	10	0	1736
RES0135	26.52	51.48	18.80	4	3	1282
RES0136	28.87	97.09	29.74	3	0	1271
RES0137	24.64	81.36	26.70	11	0	1266
RES0138	17.73	91.47	17.99	1	0	1173
RES0139	32.46	96.26	33.33	4	0	1149
RES0140	36.71	90.09	41.50	8	0	918
RES0141	23.25	83.47	24.95	4	0	998
RES0142	34.97	85.63	36.29	4	0	835
RES0143	34.35	95.66	35.65	6	0	1153
RES0144	32.95	96.28	34.19	4	0	1129
RES0145	19.31	78.74	19.70	4	1	1284
RES0146	24.32	84.93	25.11	5	0	876
RES0147	19.71	81.33	20.35	5	1	1248
RES0148	32.40	81.62	33.64	4	0	1213
RES0149	29.61	73.24	32.68	6	0	1334
RES0150	30.18	63.35	25.21	1	3	1206
RES0151	26.43	26.52	18.70	5	3	1203
RES0152	18.72	32.28	20.07	7	3	1106
RES0153	21.47	38.87	21.73	6	0	1155
RES0154	32.80	31.70	22.07	4	2	997
RES0155	32.37	33.18	26.27	8	6	1492
RES0156	32.77	31.46	23.00	4	4	1065
RES0158	31.07	37.04	22.67	3	6	1107
RES0159	17.43	79.12	17.88	4	0	1130
RES0160	17.38	80.45	17.29	1	0	1105
RES0161	21.24	69.04	21.04	3	0	998
RES0162	18.48	90.38	18.39	1	0	1196
RES0163	19.38	78.04	17.75	4	1	1166
RES0164	29.45	78.74	30.11	2	1	1209
RES0165	26.20	78.61	23.18	2	1	893
RES0166	19.03	80.80	18.67	4	1	1130
RES0167	19.12	54.47	19.39	6	2	1140
RES0168	31.82	58.31	33.93	10	1	1276
RES0169	26.74	85.43	32.39	13	0	920
RES0170	26.63	90.13	26.86	2	0	1307
RES0171	36.80	67.53	43.02	14	0	1318
RES0172	33.77	88.02	35.33	7	0	1152
RES0173	27.46	75.98	29.10	5	0	1220
RES0174	17.95	73.88	18.35	3	0	1493
RES0175	17.00	79.42	17.20	2	0	1006
RES0176	16.34	78.34	16.42	2	0	1279
RES0177	23.65	67.76	28.55	12	0	1163
RES0178	20.59	66.97	21.13	4	1	1093
RES0179	35.75	54.54	41.12	10	3	1267
RES0180	39.16	75.70	41.01	4	0	1029
RES0181	24.21	82.10	27.28	8	0	1173
RES0182	31.22	78.43	34.01	6	0	932
RES0183	18.41	56.90	18.58	5	3	1195
RES0184	28.48	70.37	28.69	2	1	955
RES0185	36.62	57.20	38.16	8	5	1035
RES0186	28.05	70.31	30.85	4	0	1034
RES0187	31.15	41.59	29.75	11	10	1284
RES0188	19.06	63.15	17.25	1	1	939
RES0189	21.97	27.85	16.58	6	5	1411
RES0190	24.88	25.67	15.78	3	1	1274
RES0191	22.08	56.72	18.69	2	1	915
RES0192	17.71	45.24	17.79	3	0	1293
RES0193	28.43	34.06	25.83	10	4	1421
RES0194	29.38	30.04	21.17	5	3	1365
RES0195	24.11	41.22	28.33	6	9	1327
RES0196	39.66	40.09	25.11	7	1	928
RES0197	17.33	38.55	18.17	10	2	952
RES0198	34.95	41.68	25.03	3	7	847
RES0199	40.32	43.52	43.07	8	5	1126
RES0200	30.42	64.83	33.66	16	3	1325
RES0201	19.25	55.32	20.70	7	1	1034
RES0202	23.56	53.28	20.95	9	5	1494
RES0203	16.04	49.56	16.92	7	2	910
RES0204	39.36	82.43	39.57	2	0	973
RES0205	17.51	100.00	17.51	0	0	1028
RES0206	31.34	86.25	32.63	6	0	1324
RES0207	34.33	98.63	34.33	0	0	804
RES0208	29.10	90.38	30.21	5	0	1268
RES0209	34.60	84.56	35.16	3	0	1075
RES0210	14.31	100.00	14.31	0	0	1118
RES0211	17.69	99.71	17.69	0	0	1357
RES0212	15.22	95.50	15.22	0	0	1268
RES0213	18.28	63.16	18.42	2	0	1417
RES0214	15.43	64.18	15.51	2	0	1128
RES0215	16.90	71.14	16.90	4	1	1379
RES0216	17.87	84.30	17.94	1	0	1561
RES0217	18.75	66.14	19.16	7	0	1456
