file_id	parakeet_wer	medasr_wer	fused_wer	subs_acoustic	subs_anchor
RES0113	25.96	80.48	25.96	0	0
RES0114	25.86	74.84	25.86	0	0
RES0116	18.97	68.63	18.97	0	1
RES0117	39.80	71.17	39.80	0	0
RES0118	14.37	80.73	14.37	0	0
RES0119	24.05	53.84	24.05	0	0
RES0120	23.43	43.67	23.43	0	0
RES0121	13.50	73.21	13.50	0	0
RES0122	21.68	80.37	21.68	0	0
RES0123	20.70	89.37	20.70	0	0
RES0124	15.32	83.72	15.32	0	0
RES0125	15.26	83.10	15.26	0	0
RES0126	16.65	82.51	16.65	0	0
RES0127	21.69	83.73	21.69	0	0
RES0128	30.85	64.91	30.85	0	0
RES0129	32.66	79.54	32.66	0	0
RES0130	23.36	76.35	23.36	0	0
RES0131	25.66	85.92	25.66	0	0
RES0132	27.79	58.18	27.79	0	0
RES0133	26.30	72.61	26.30	0	0
RES0134	14.63	73.73	14.57	0	1
RES0135	26.52	51.48	26.52	0	0
RES0136	28.87	97.09	28.87	0	0
RES0137	24.64	81.36	24.64	0	0
RES0138	17.73	91.47	17.73	0	0
RES0139	32.46	96.26	32.46	0	0
RES0140	36.71	90.09	36.71	0	0
RES0141	23.25	83.47	23.25	0	0
RES0142	34.97	85.63	34.97	0	0
RES0143	34.35	95.66	34.35	0	0
RES0144	32.95	96.28	32.95	0	0
RES0145	19.31	78.74	19.31	0	0
RES0146	24.32	84.93	24.32	0	0
RES0147	19.71	81.33	19.71	0	0
RES0148	32.40	81.62	32.40	0	0
RES0149	29.61	73.24	29.61	0	0
RES0150	30.18	63.35	30.18	0	0
RES0151	26.43	26.52	26.43	0	0
RES0152	18.72	32.28	18.72	0	0
RES0153	21.47	38.87	21.47	0	0
RES0154	32.80	31.70	32.80	0	0
RES0155	32.37	33.18	32.31	1	0
RES0156	32.77	31.46	32.77	0	0
RES0158	31.07	37.04	31.07	0	0
RES0159	17.43	79.12	17.43	0	0
RES0160	17.38	80.45	17.38	0	0
RES0161	21.24	69.04	21.24	0	0
RES0162	18.48	90.38	18.48	0	0
RES0163	19.38	78.04	19.38	0	0
RES0164	29.45	78.74	29.45	0	0
RES0165	26.20	78.61	26.20	0	0
RES0166	19.03	80.80	19.03	0	0
RES0167	19.12	54.47	19.12	0	0
RES0168	31.82	58.31	31.82	0	0
RES0169	26.74	85.43	26.74	0	0
RES0170	26.63	90.13	26.63	0	0
RES0171	36.80	67.53	36.80	0	0
RES0172	33.77	88.02	33.77	0	0
RES0173	27.46	75.98	27.46	0	0
RES0174	17.95	73.88	17.95	0	0
RES0175	17.00	79.42	17.00	0	0
RES0176	16.34	78.34	16.34	0	0
RES0177	23.65	67.76	23.65	0	0
RES0178	20.59	66.97	20.59	0	0
RES0179	35.75	54.54	35.75	0	0
RES0180	39.16	75.70	39.16	0	0
RES0181	24.21	82.10	24.21	0	0
RES0182	31.22	78.43	31.22	0	0
RES0183	18.41	56.90	18.41	0	0
RES0184	28.48	70.37	28.48	0	0
RES0185	36.62	57.20	36.62	0	0
RES0186	28.05	70.31	28.05	0	0
RES0187	31.15	41.59	31.15	0	0
RES0188	19.06	63.15	19.06	0	0
RES0189	21.97	27.85	21.97	0	0
RES0190	24.88	25.67	24.88	0	0
RES0191	22.08	56.72	22.08	0	0
RES0192	17.71	45.24	17.71	0	0
RES0193	28.43	34.06	28.43	0	0
RES0194	29.38	30.04	29.38	0	0
RES0195	24.11	41.22	24.11	0	0
RES0196	39.66	40.09	39.66	0	0
RES0197	17.33	38.55	17.54	3	0
RES0198	34.95	41.68	34.95	0	0
RES0199	40.32	43.52	40.32	0	0
RES0200	30.42	64.83	30.42	0	0
RES0201	19.25	55.32	19.25	0	0
RES0202	23.56	53.28	23.56	0	0
RES0203	16.04	49.56	16.04	0	0
RES0204	39.36	82.43	39.36	0	0
RES0205	17.51	100.00	17.51	0	0
RES0206	31.34	86.25	31.34	0	0
RES0207	34.33	98.63	34.33	0	0
RES0208	29.10	90.38	29.10	0	0
RES0209	34.60	84.56	34.60	0	0
RES0210	14.31	100.00	14.31	0	0
RES0211	17.69	99.71	17.69	0	0
RES0212	15.22	95.50	15.22	0	0
RES0213	18.28	63.16	18.28	0	0
RES0214	15.43	64.18	15.43	0	0
RES0215	16.90	71.14	16.90	0	0
RES0216	17.87	84.30	17.87	0	0
RES0217	18.75	66.14	18.75	0	0
