pattern	dataset	models_added	recovery_count	recovery_pct_of_total
NEGATION_FLIP	nazmulkazi	paraformer-en,medasr,medasr-int8,cloud-google,zipformer-zh-en,nemo-fastconformer-int8,nemotron,nemo-fastconformer,cloud-azure,whisper-base-en	330	65.1
NEGATION_FLIP	primock57	cloud-deepgram	165	55.7
NEGATION_FLIP	primock57	cloud-deepgram,cloud-google	202	68.2
NEGATION_FLIP	primock57	cloud-deepgram,cloud-google,cloud-azure	211	71.3
NEGATION_FLIP	primock57	cloud-deepgram,cloud-google,cloud-azure,whisper-distil-v3.5	216	73.0
NEGATION_FLIP	primock57	cloud-deepgram,cloud-google,cloud-azure,whisper-distil-v3.5,qwen3-asr	219	74.0
NEGATION_FLIP	primock57	cloud-deepgram,cloud-google,cloud-azure,whisper-distil-v3.5,qwen3-asr,zipformer-zh-en	227	76.7
NEGATION_FLIP	primock57	cloud-deepgram,cloud-google,cloud-azure,whisper-distil-v3.5,qwen3-asr,zipformer-zh-en,sensevoice-no-itn	229	77.4
NEGATION_FLIP	primock57	cloud-deepgram,cloud-google,cloud-azure,whisper-distil-v3.5,qwen3-asr,zipformer-zh-en,sensevoice-no-itn,paraformer-en	230	77.7
NEGATION_FLIP	primock57	cloud-deepgram,cloud-google,cloud-azure,whisper-distil-v3.5,qwen3-asr,zipformer-zh-en,sensevoice-no-itn,paraformer-en,whisper-base-en	232	78.4
NEGATION_FLIP	primock57	cloud-deepgram,cloud-google,cloud-azure,whisper-distil-v3.5,qwen3-asr,zipformer-zh-en,sensevoice-no-itn,paraformer-en,whisper-base-en,parakeet-tdt-medical-ep2-clean	232	78.4
NUMERIC	figshare-osce	cloud-assemblyai	462	46.0
NUMERIC	figshare-osce	cloud-assemblyai,cloud-azure	592	59.0
NUMERIC	figshare-osce	cloud-assemblyai,cloud-azure,whisper-distil-v3.5	633	63.0
NUMERIC	figshare-osce	cloud-assemblyai,cloud-azure,whisper-distil-v3.5,sensevoice	671	66.8
NUMERIC	figshare-osce	cloud-assemblyai,cloud-azure,whisper-distil-v3.5,sensevoice,whisper-base-en	687	68.4
NUMERIC	figshare-osce	cloud-assemblyai,cloud-azure,whisper-distil-v3.5,sensevoice,whisper-base-en,whisper-turbo	690	68.7
NUMERIC	figshare-osce	cloud-assemblyai,cloud-azure,whisper-distil-v3.5,sensevoice,whisper-base-en,whisper-turbo,cloud-deepgram	712	70.9
NUMERIC	figshare-osce	cloud-assemblyai,cloud-azure,whisper-distil-v3.5,sensevoice,whisper-base-en,whisper-turbo,cloud-deepgram,cloud-google	731	72.8
NUMERIC	figshare-osce	cloud-assemblyai,cloud-azure,whisper-distil-v3.5,sensevoice,whisper-base-en,whisper-turbo,cloud-deepgram,cloud-google,sensevoice-no-itn	752	74.9
NUMERIC	figshare-osce	cloud-assemblyai,cloud-azure,whisper-distil-v3.5,sensevoice,whisper-base-en,whisper-turbo,cloud-deepgram,cloud-google,sensevoice-no-itn,medasr	766	76.3
NUMERIC	nazmulkazi	cloud-assemblyai	157	28.4
NUMERIC	nazmulkazi	cloud-assemblyai,cloud-azure	206	37.3
NUMERIC	nazmulkazi	cloud-assemblyai,cloud-azure,cloud-google	236	42.8
NUMERIC	nazmulkazi	cloud-assemblyai,cloud-azure,cloud-google,medasr	265	48.0
NUMERIC	nazmulkazi	cloud-assemblyai,cloud-azure,cloud-google,medasr,medasr-int8	265	48.0
NUMERIC	nazmulkazi	cloud-assemblyai,cloud-azure,cloud-google,medasr,medasr-int8,zipformer-zh-en	282	51.1
NUMERIC	nazmulkazi	cloud-assemblyai,cloud-azure,cloud-google,medasr,medasr-int8,zipformer-zh-en,nemo-fastconformer-int8	286	51.8
NUMERIC	nazmulkazi	cloud-assemblyai,cloud-azure,cloud-google,medasr,medasr-int8,zipformer-zh-en,nemo-fastconformer-int8,nemo-fastconformer	287	52.0
