subdir	provider	fid	words_fixed	words_buggy	fixed_err	buggy_err
benchmark_results_cloud_figshare-osce	assemblyai	RES0084	1562	1516	133	217
benchmark_results_cloud_figshare-osce	assemblyai	RES0085	959	923	81	142
benchmark_results_cloud_figshare-osce	assemblyai	MSK0038	1895	1828	178	289
benchmark_results_cloud_figshare-osce	assemblyai	RES0086	1523	1463	150	258
benchmark_results_cloud_figshare-osce	assemblyai	RES0090	1193	1160	97	146
benchmark_results_cloud_figshare-osce	assemblyai	RES0091	901	869	54	106
benchmark_results_cloud_figshare-osce	assemblyai	RES0092	837	800	100	163
benchmark_results_cloud_figshare-osce	assemblyai	RES0094	793	766	70	124
benchmark_results_cloud_figshare-osce	assemblyai	RES0087	1359	1306	105	203
benchmark_results_cloud_figshare-osce	assemblyai	RES0089	1800	1749	168	257
benchmark_results_cloud_figshare-osce	assemblyai	RES0088	1373	1336	125	188
benchmark_results_cloud_figshare-osce	assemblyai	RES0095	1467	1426	165	231
benchmark_results_cloud_figshare-osce	assemblyai	RES0098	1474	1422	138	218
benchmark_results_cloud_figshare-osce	assemblyai	RES0093	1606	1543	177	280
benchmark_results_cloud_figshare-osce	assemblyai	RES0096	1292	1251	173	238
benchmark_results_cloud_figshare-osce	assemblyai	RES0099	1554	1505	171	245
benchmark_results_cloud_figshare-osce	assemblyai	RES0097	1381	1319	162	248
benchmark_results_cloud_figshare-osce	assemblyai	RES0103	1100	1063	115	178
benchmark_results_cloud_figshare-osce	assemblyai	RES0104	1563	1511	163	241
benchmark_results_cloud_figshare-osce	assemblyai	RES0106	1307	1251	149	230
benchmark_results_cloud_figshare-osce	assemblyai	RES0101	1430	1379	138	227
benchmark_results_cloud_figshare-osce	assemblyai	RES0109	845	817	77	120
benchmark_results_cloud_figshare-osce	assemblyai	RES0100	1767	1710	179	260
benchmark_results_cloud_figshare-osce	assemblyai	RES0108	950	918	97	144
benchmark_results_cloud_figshare-osce	assemblyai	RES0107	1596	1520	165	278
benchmark_results_cloud_figshare-osce	assemblyai	RES0110	1565	1512	141	222
benchmark_results_cloud_figshare-osce	assemblyai	RES0105	1738	1663	208	305
benchmark_results_cloud_figshare-osce	assemblyai	RES0111	965	927	93	156
benchmark_results_cloud_figshare-osce	assemblyai	RES0113	1079	1043	105	167
benchmark_results_cloud_figshare-osce	assemblyai	RES0112	835	795	68	139
benchmark_results_cloud_figshare-osce	assemblyai	RES0102	2025	1952	179	298
benchmark_results_cloud_figshare-osce	assemblyai	RES0114	1673	1606	158	278
benchmark_results_cloud_figshare-osce	assemblyai	RES0117	951	920	92	138
